
	||	Trajectory Key	||	

Trajectory number       Trajectory Count         	lambda1 : value     	lambda2 : value     	mu : value     
------------------------------------------------------------------------------------------------------------------------

  Index:0                     10000                      4.0          	       4.0          	  4.0          
  Index:1                     10000                      4.0          	       4.0          	  8.0          
  Index:2                     10000                      4.0          	       4.0          	 12.0          
  Index:3                     10000                      4.0          	       4.0          	 16.0          
  Index:4                     10000                      4.0          	       8.0          	  4.0          
  Index:5                     10000                      4.0          	       8.0          	  8.0          
  Index:6                     10000                      4.0          	       8.0          	 12.0          
  Index:7                     10000                      4.0          	       8.0          	 16.0          
  Index:8                     10000                      4.0          	      12.0          	  4.0          
  Index:9                     10000                      4.0          	      12.0          	  8.0          
  Index:10                    10000                      4.0          	      12.0          	 12.0          
  Index:11                    10000                      4.0          	      12.0          	 16.0          
  Index:12                    10000                      4.0          	      16.0          	  4.0          
  Index:13                    10000                      4.0          	      16.0          	  8.0          
  Index:14                    10000                      4.0          	      16.0          	 12.0          
  Index:15                    10000                      4.0          	      16.0          	 16.0          
  Index:16                    10000                      8.0          	       4.0          	  4.0          
  Index:17                    10000                      8.0          	       4.0          	  8.0          
  Index:18                    10000                      8.0          	       4.0          	 12.0          
  Index:19                    10000                      8.0          	       4.0          	 16.0          
  Index:20                    10000                      8.0          	       8.0          	  4.0          
  Index:21                    10000                      8.0          	       8.0          	  8.0          
  Index:22                    10000                      8.0          	       8.0          	 12.0          
  Index:23                    10000                      8.0          	       8.0          	 16.0          
  Index:24                    10000                      8.0          	      12.0          	  4.0          
  Index:25                    10000                      8.0          	      12.0          	  8.0          
  Index:26                    10000                      8.0          	      12.0          	 12.0          
  Index:27                    10000                      8.0          	      12.0          	 16.0          
  Index:28                    10000                      8.0          	      16.0          	  4.0          
  Index:29                    10000                      8.0          	      16.0          	  8.0          
  Index:30                    10000                      8.0          	      16.0          	 12.0          
  Index:31                    10000                      8.0          	      16.0          	 16.0          
  Index:32                    10000                     12.0          	       4.0          	  4.0          
  Index:33                    10000                     12.0          	       4.0          	  8.0          
  Index:34                    10000                     12.0          	       4.0          	 12.0          
  Index:35                    10000                     12.0          	       4.0          	 16.0          
  Index:36                    10000                     12.0          	       8.0          	  4.0          
  Index:37                    10000                     12.0          	       8.0          	  8.0          
  Index:38                    10000                     12.0          	       8.0          	 12.0          
  Index:39                    10000                     12.0          	       8.0          	 16.0          
  Index:40                    10000                     12.0          	      12.0          	  4.0          
  Index:41                    10000                     12.0          	      12.0          	  8.0          
  Index:42                    10000                     12.0          	      12.0          	 12.0          
  Index:43                    10000                     12.0          	      12.0          	 16.0          
  Index:44                    10000                     12.0          	      16.0          	  4.0          
  Index:45                    10000                     12.0          	      16.0          	  8.0          
  Index:46                    10000                     12.0          	      16.0          	 12.0          
  Index:47                    10000                     12.0          	      16.0          	 16.0          
  Index:48                    10000                     16.0          	       4.0          	  4.0          
  Index:49                    10000                     16.0          	       4.0          	  8.0          
  Index:50                    10000                     16.0          	       4.0          	 12.0          
  Index:51                    10000                     16.0          	       4.0          	 16.0          
  Index:52                    10000                     16.0          	       8.0          	  4.0          
  Index:53                    10000                     16.0          	       8.0          	  8.0          
  Index:54                    10000                     16.0          	       8.0          	 12.0          
  Index:55                    10000                     16.0          	       8.0          	 16.0          
  Index:56                    10000                     16.0          	      12.0          	  4.0          
  Index:57                    10000                     16.0          	      12.0          	  8.0          
  Index:58                    10000                     16.0          	      12.0          	 12.0          
  Index:59                    10000                     16.0          	      12.0          	 16.0          
  Index:60                    10000                     16.0          	      16.0          	  4.0          
  Index:61                    10000                     16.0          	      16.0          	  8.0          
  Index:62                    10000                     16.0          	      16.0          	 12.0          
  Index:63                    10000                     16.0          	      16.0          	 16.0          
